,model,colours,ratings,reviews,selling_price(Rs),actual_price(Rs),off(%),connectivity,brand,type,colour,discount
620,Skullcandy JibTrue Wireless Bluetooth Headset,"Chill Grey, True Wireless",3.8,10,2999,8821,66,Bluetooth Headset,Skullcandy,True Wireless,Chill Grey,5822
621,JBL Live 25BT Bluetooth Headset,"Black, In the Ear",3.7,129,1999,4998,60,Bluetooth Headset,JBL,In the Ear,Black,2999
622,ViVO sporty sport gadgetking Bluetooth Headset,"Black, In the Ear",3.1,9,399,887,55,Bluetooth Headset,ViVO,In the Ear,Black,488
623,OPPO R11 WIRED EARPHONE FOR ALL SMART PHONES Wired Head...,"White, In the Ear",3.5,162,199,995,80,,OPPO,In the Ear,White,796
624,Portronics Conch Delta POR-1146 in-Ear Wired Earphone W...,"White, Black, In the Ear",3.8,10,409,499,18,,Portronics,In the Ear,White Black,90
625,ViVO Best Selling Earphone With Best Quality Wired Head...,"White, In the Ear",3.6,107,217,986,78,,ViVO,In the Ear,White,769
626,REDMI High Definition Bass Stereo Sound HHGBVGV Wired H...,"White, In the Ear",3.8,10,249,732,66,,REDMI,In the Ear,White,483
627,OPPO Wired Headphone Wired Headset,"White, In the Ear",3.8,10,166,830,80,Wired Headset,OPPO,In the Ear,White,664
628,ViVO High Bass Earphones Noise Isolating Wired Headset ...,"White, In the Ear",3.0,4,199,765,74,,ViVO,In the Ear,White,566
629,OPPO r 5905 otg Wired Headset,"White, In the Ear",3.4,5,195,886,78,Wired Headset,OPPO,In the Ear,White,691
630,OPPO 0012 Wired Headset,"White, In the Ear",3.8,10,248,496,50,Wired Headset,OPPO,In the Ear,White,248
631,OPPO Earph-006 Wired Headset,"White, In the Ear",3.6,322,188,783,76,Wired Headset,OPPO,In the Ear,White,595
632,REDMI High Definition Bass Stereo Sound G6GFFG Wired He...,"White, In the Ear",3.8,10,249,732,66,,REDMI,In the Ear,White,483
633,ViVO follsibiol ear sport gadgetking Bluetooth Headset,"Black, In the Ear",3.3,10,399,998,60,Bluetooth Headset,ViVO,In the Ear,Black,599
634,ViVO instert ear sport gadgetking Bluetooth Headset,"Black, In the Ear",2.3,3,399,998,60,Bluetooth Headset,ViVO,In the Ear,Black,599
635,OPPO R11 WIRED HEADSET PACK OF 2 Wired Headset,"White, In the Ear",3.4,64,241,964,75,Wired Headset,OPPO,In the Ear,White,723
636,OPPO VHHH Wired Headset,"White, In the Ear",3.0,5,189,859,78,Wired Headset,OPPO,In the Ear,White,670
637,REDMI Dual Driver 06 Wired Headset,"Black, In the Ear",3.8,10,499,998,50,Wired Headset,REDMI,In the Ear,Black,499
