,model,colours,ratings,reviews,selling_price(Rs),actual_price(Rs),off(%),connectivity,brand,type,colour,discount
659,SONY XB550AP / MDR-XB550AP Wired Headset,"Black, On the Ear",4.1,43,3290,6580,50,Wired Headset,SONY,On the Ear,Black,3290
660,ViVO High Bass Earphones Noise Isolating White 1103 Wir...,"all, In the Ear",3.8,10,175,398,56,,ViVO,In the Ear,all,223
661,OPPO q02 high bass earphone Wired Headset Wired Headset,"White, In the Ear",2.6,9,199,485,59,Wired Headset,OPPO,In the Ear,White,286
662,ViVO Sportclub Bluetooth Headset with Mic Wired Headset,"Black, In the Ear",2.8,12,369,1190,69,Wired Headset,ViVO,In the Ear,Black,821
663,REDMI High Definition Bass Stereo Sound HGFG Wired Head...,"White, In the Ear",3.8,10,249,732,66,,REDMI,In the Ear,White,483
664,ViVO High Bass Earphones Noise Isolating 1101 Wired Hea...,"all, In the Ear",3.1,10,170,395,57,,ViVO,In the Ear,all,225
665,PHILIPS SHE2305BK IN EARPHONE WITH MIC Wired Headset,"Black, In the Ear",3.9,89,639,1420,55,Wired Headset,PHILIPS,In the Ear,Black,781
666,ORAIMO 2 oep-e21 legendary sound with mic Wired Headset,"White, In the Ear",4.3,4,260,299,13,Wired Headset,ORAIMO,In the Ear,White,39
667,REDMI Basic Wired Headset with Mic 01DTYTDJ Wired Heads...,"Black, In the Ear",2.0,3,399,596,33,,REDMI,In the Ear,Black,197
668,PHILIPS TX2 Bluetooth without Mic Headset,"Black, In the Ear",2.7,179,290,492,41,Mic Headset,PHILIPS,In the Ear,Black,202
669,REDMI Basic Wired Headset with Mic 01SDFDFGGDFTDYFGTDJ ...,"Black, In the Ear",2.8,32,399,596,33,,REDMI,In the Ear,Black,197
670,Skullcandy Chops Flex Headset with Mic,"Royal Blue Swirl, In the Ear",4.0,2525,1299,1687,23,with Mic,Skullcandy,In the Ear,Royal Blue Swirl,388
671,Skullcandy S2IKDY-010 Wired Headset,"Pink, In the Ear",3.8,10,959,1682,43,Wired Headset,Skullcandy,In the Ear,Pink,723
672,ViVO astrim ear sport gadgetking Bluetooth Headset,"Black, In the Ear",2.9,17,385,987,61,Bluetooth Headset,ViVO,In the Ear,Black,602
673,JBL Live 220BT Bluetooth Headset,"Red, In the Ear",3.1,202,3990,5250,24,Bluetooth Headset,JBL,In the Ear,Red,1260
674,Skullcandy Sesh S2TDW-M723 Bluetooth Headset,"marhoon, True Wireless",3.6,1425,3299,5998,45,Bluetooth Headset,Skullcandy,True Wireless,marhoon,2699
675,Skullcandy Ink'd Plus Wired Headset,"Red, In the Ear",3.6,60,1299,1493,13,Wired Headset,Skullcandy,In the Ear,Red,194
676,PHILIPS TAH4205BK/00 Bluetooth Headset,"Black, On the Ear",3.8,10,3999,4999,20,Bluetooth Headset,PHILIPS,On the Ear,Black,1000
677,REDMI Basic Wired Headset with Mic 01DF2CFFW Wired Head...,"Black, In the Ear",2.2,9,399,596,33,,REDMI,In the Ear,Black,197
678,REDMI Basic Wired Headset with Mic 01DFGTYTDJ Wired Hea...,"Black, In the Ear",2.5,20,399,596,33,,REDMI,In the Ear,Black,197
679,Skullcandy Stim Headset with mic,"White Gray, On the Ear",4.2,465,1599,1999,20,with mic,Skullcandy,On the Ear,White Gray,400
680,Skullcandy S2DUL-J416 Wired Headset,"Pink/Black, In the Ear",4.0,91235,679,1095,38,Wired Headset,Skullcandy,In the Ear,Black,416
681,ViVO Golden high cable wire controllable earbuds Wired ...,"White, Gold, In the Ear",2.6,7,399,1174,66,,ViVO,In the Ear,White Gold,775
682,boAt Airdopes 131 Bluetooth Headset,"DC Blue, True Wireless",4.2,718,1049,2098,50,Bluetooth Headset,boAt,True Wireless,DC Blue,1049
683,REDMI High Definition Bass Stereo 04G5 Wired Headset,"White, In the Ear",3.8,10,249,732,66,Wired Headset,REDMI,In the Ear,White,483
684,ViVO White C-Type Earph Vi010 Wired Headset,"White, In the Ear",2.5,6,490,1750,72,Wired Headset,ViVO,In the Ear,White,1260
685,boAt Airdopes 461 Bluetooth Headset,"Active Black, True Wireless",3.8,2744,2999,7892,62,Bluetooth Headset,boAt,True Wireless,Active Black,4893
686,REDMI High Definition Bass Stereo Sound Wired Headset,"White, In the Ear",3.0,16,249,732,66,Wired Headset,REDMI,In the Ear,White,483
687,REDMI High Definition Bass Stereo 045 Wired Headset,"White, In the Ear",3.4,7,249,732,66,Wired Headset,REDMI,In the Ear,White,483
688,ViVO EARPHONE high Wired Headset,"White, In the Ear",2.6,11,180,391,54,Wired Headset,ViVO,In the Ear,White,211
689,JBL Tune600BTNC Bluetooth Headset,"White, On the Ear",3.8,10,4299,6934,38,Bluetooth Headset,JBL,On the Ear,White,2635
690,ViVO Bass Headset with good sound cliarity Wired Headse...,"White, In the Ear",3.8,10,249,996,75,,ViVO,In the Ear,White,747
691,Skullcandy Ink'd Plus Wired Headset,"Mod White, In the Ear",3.8,10,1299,1998,35,Wired Headset,Skullcandy,In the Ear,Mod White,699
692,ViVO Earphones Wired Headset,"White, In the Ear",2.7,7,199,737,73,Wired Headset,ViVO,In the Ear,White,538
693,ViVO JHUIH UOHOE U Wired Headset,"White, In the Ear",3.8,10,198,683,71,Wired Headset,ViVO,In the Ear,White,485
694,SONY XB510AS Wired Headset,"Green, In the Ear",4.5,15,2990,5980,50,Wired Headset,SONY,In the Ear,Green,2990
695,ORAIMO VOEX E-23 Wired Headset,"White, In the Ear",4.5,13,399,448,11,Wired Headset,ORAIMO,In the Ear,White,49
696,PHILIPS SHE3555RD Wired Headset,"Red, In the Ear",4.0,15,549,597,8,Wired Headset,PHILIPS,In the Ear,Red,48
697,ORAIMO Universal earphone with mic and deep bass Wired ...,"Black, In the Ear",3.0,8,340,493,31,,ORAIMO,In the Ear,Black,153
698,Skullcandy Jib Plus Active Sport Wireless Bluetooth Hea...,"Red, In the Ear",3.8,54,2049,3940,48,,Skullcandy,In the Ear,Red,1891
699,ORAIMO OEP-E21 Wired Headset,"White, In the Ear",3.8,10,259,288,10,Wired Headset,ORAIMO,In the Ear,White,29
700,ViVO Earphone Wired Headset,"White, In the Ear",3.2,65,199,995,80,Wired Headset,ViVO,In the Ear,White,796
701,ViVO new stylist earphone with mic Wired Headset (White...,"White, In the Ear",3.8,10,199,948,79,,ViVO,In the Ear,White,749
702,ViVO r60 Wired Headset,"Black, In the Ear",3.8,10,228,585,61,Wired Headset,ViVO,In the Ear,Black,357
703,OPPO Earphone 031 Wired Headset,"White, In the Ear",3.8,10,249,996,75,Wired Headset,OPPO,In the Ear,White,747
704,OPPO 3.5mm-Jack Wired Headset Wired Headset,"White, In the Ear",2.0,6,161,767,79,Wired Headset,OPPO,In the Ear,White,606
705,ViVO VIJHGFYVB YUGEYFHE Wired Headset,"White, In the Ear",3.8,10,199,686,71,Wired Headset,ViVO,In the Ear,White,487
706,Portronics Muffs M Pro 1074 Bluetooth Headset,"Black, True Wireless",3.8,10,1459,1999,27,Bluetooth Headset,Portronics,True Wireless,Black,540
707,Portronics Conch 202 Wired Headset,"White, In the Ear",3.8,10,599,697,14,Wired Headset,Portronics,In the Ear,White,98
708,Portronics DELTA IN EAR EARPHONE POR 1146 Wired Headset,"White, In the Ear",3.8,10,399,499,20,Wired Headset,Portronics,In the Ear,White,100
709,OPPO KJHGTYDEFIUB HGYUGKGUT KHGJV Wired Headset,"White, In the Ear",3.8,10,249,692,64,Wired Headset,OPPO,In the Ear,White,443
710,ViVO v erph Wired Headset,"White, In the Ear",3.8,10,210,583,64,Wired Headset,ViVO,In the Ear,White,373
711,OPPO LJHUIH KJB J 5491RS VEVE Wired Headset,"White, In the Ear",3.8,10,247,882,72,Wired Headset,OPPO,In the Ear,White,635
712,PHILIPS Unisex In-Ear Headphones Bluetooth Headset,"White, On the Ear",3.8,10,1924,3498,45,Bluetooth Headset,PHILIPS,On the Ear,White,1574
713,ViVO tab ear sport gadgetking Bluetooth Headset,"Black, In the Ear",2.8,5,399,887,55,Bluetooth Headset,ViVO,In the Ear,Black,488
714,JBL 100% Original t50-hi Wired Wired Headset,"Blue, In the Ear",3.8,10,699,999,30,Wired Headset,JBL,In the Ear,Blue,300
715,boAt Airdopes 711 Bluetooth Headset,"Active Black, True Wireless",3.4,78,4999,11902,58,Bluetooth Headset,boAt,True Wireless,Active Black,6903
716,REDMI Dual Driver 016 Wired Headset,"Black, In the Ear",3.8,10,499,998,50,Wired Headset,REDMI,In the Ear,Black,499
717,boAt Airdopes 461 Bluetooth Headset,"Bold Blue, True Wireless",3.8,2744,2999,7892,62,Bluetooth Headset,boAt,True Wireless,Bold Blue,4893
718,"Portronics Muffs Pro, POR-645 Bluetooth without Mic Hea...","Black, On the Ear",4.1,38,1999,2499,20,,Portronics,On the Ear,Black,500
719,Skullcandy S2DUY-L102 Wired Headset,"Green Black, In the Ear",2.9,17,785,994,21,Wired Headset,Skullcandy,In the Ear,Green Black,209
720,Skullcandy Jib Plus Active Sport Wireless Bluetooth Hea...,"Blue, In the Ear",3.8,54,2079,3998,48,,Skullcandy,In the Ear,Blue,1919
721,PHILIPS SHB4305WT Bluetooth Headset,"White, In the Ear",3.0,99,1599,3476,54,Bluetooth Headset,PHILIPS,In the Ear,White,1877
722,OPPO Wireless Bluetooth Headphone With Mic & Fm Functio...,"Black, On the Ear",3.8,10,899,1873,52,,OPPO,On the Ear,Black,974
